name,role,presence,show,num_shows
 Otto Broberg,Series Art Department,            assistant property master (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Owen Holland,Series Stunts,"            utility stunts (1 episode, 2021)          ",WandaVision                  (2021),35
 Owen Szabo,['Time Eater' 'Series Stunts'],"['unknown episodes                        '
 '            stunt performer / stunt double (3 episodes, 2019)          ']",Legion                  (2017–2019),35
 Ozzie Carmona,Series Visual Effects by,            digital compositor (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Pablo Borges,Series Costume and Wardrobe Department,"            costume supervisor (9 episodes, 2021)          ",WandaVision                  (2021),35
 Pablo Domínguez,Series Visual Effects by,"            Concept Artist: ILM (1 episode, 2021)          ",WandaVision                  (2021),35
 Paige Adair,Series Art Department,"            graphic designer / sign painter (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Paige Reynolds,Series Visual Effects by,"            digital compositor (17 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Pamela Jaeckle,Series Additional Crew,"            production coordinator (14 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Pamela Kuri,Series Second Unit Director or Assistant Director,"            first assistant director (6 episodes, 2018)          ",Legion                  (2017–2019),35
 Paola Magrans,Series Sound Department,"            assistant sound editor / foley editor (11 episodes, 2017-2018)          ",Legion                  (2017–2019),35
 Paolo Malo,Series Camera and Electrical Department,            lighting technician (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Parichoy Choudhury,Series Visual Effects by,"            lighting artist: Pixomondo (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Paris Rich,Series Camera and Electrical Department,"            grip (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Parisa Behvar,Series Visual Effects by,"            compositor: Pixomondo (3 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Parisa Foroutan,Series Visual Effects by,"            digital compositor (3 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Paskal Vaklev,Teenage Boy,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Pasquale Greco,Series Visual Effects by,"            production manager: Scanable (9 episodes, 2021)          ",WandaVision                  (2021),35
 Pat Chu,Series Stunts,"            stunt performer (1 episode, 2020)          ",Doom Patrol                  (2019– ),37
 Pat O'Brien,Series Art Department,"            property master (1 episode, 2017)          ",Legion                  (2017–2019),35
 Patrice Cormier,Series Visual Effects by,"            visual effects producer (1 episode, 2017)          ",Legion                  (2017–2019),35
 Patrice Goodman,Dot,"5 episodes, 2019-2020                        ",The Umbrella Academy                  (2019– ),46
 Patricia Messina,Series Makeup Department,"            makeup artist (9 episodes, 2018)          ",Legion                  (2017–2019),35
 Patrick Aison,Series Additional Crew,"            consultant (7 episodes, 2017)          ",Legion                  (2017–2019),35
 Patrick Beals,Series Art Department,            prop designer (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Patrick Christensen,Series Sound Department,            adr mixer (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Patrick Chundah Chu,Samurai,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Patrick Garrow,Buck,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Patrick Hall,Series Visual Effects by,"            digital compositor: MRX (2 episodes, 2021)          ",WandaVision                  (2021),35
 Patrick Haskew,Series Visual Effects by,"            Visualization Supervisor (9 episodes, 2021)          ",WandaVision                  (2021),35
 Patrick Horne,Series Visual Effects by,"            character modeling supervisor (15 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Patrick Istorico,Series Camera and Electrical Department,"            Best Boy Grip (6 episodes, 2021)          ",WandaVision                  (2021),35
 Patrick King,Series Camera and Electrical Department,"['            Fixture Lighting Technician (1 episode, 2021)          '
 '            ""a"" dolly grip / ""a"" dolly operator (10 episodes, 2019)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Patrick McQuade,Series Visual Effects by,"            Visualization Artist (9 episodes, 2021)          ",WandaVision                  (2021),35
 Patrick Moynahan,Series Camera and Electrical Department,"            aerial camera operator (1 episode, 2021)          ",WandaVision                  (2021),35
 Patrick Redmond,Series Camera and Electrical Department,"            edge crane operator (6 episodes, 2021)          ",WandaVision                  (2021),35
 Patrick Redpath,Series Transportation Department,"            driver (5 episodes, 2017)          ",Legion                  (2017–2019),35
 Patrick Romine,Series Art Department,"            construction coordinator (8 episodes, 2017)          ",Legion                  (2017–2019),35
 Patrick Stevenson,Larry,"2 episodes, 2019                        ",The Umbrella Academy                  (2019– ),46
 Patrick Wylie,Series Sound Department,"            boom operator (3 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Patryk Szczerba,Series Additional Crew,"            assistant director / office production assistant (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Patti Henderson,Series Visual Effects by,"            visual effects producer: FuseFX (8 episodes, 2017)          ",Legion                  (2017–2019),35
 Patti Milton,Series Visual Effects by,"            Visualization Artist (9 episodes, 2021)          ",WandaVision                  (2021),35
 Patty Connolly,Series Casting Department,"            adr voice casting (5 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Patty Tsilidas,Series Additional Crew,"            production coordinator (5 episodes, 2021)          ",WandaVision                  (2021),35
 Pau Viladot,Series Visual Effects by,"            digital compositor (2 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Paul Alan Flores,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Paul Anthony Scott,Series Stunts,"            stunt double: Kyle Dondlinger (1 episode, 2019)          ",Legion                  (2017–2019),35
 Paul Belsito,The Man Who Hides,"2 episodes, 2017                        ",Legion                  (2017–2019),35
 Paul Benjamin,Series Special Effects by,"            special effects coordinator (8 episodes, 2017)          ",Legion                  (2017–2019),35
 Paul Berry,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Paul Bettany,Vision,"9 episodes, 2021                        ",WandaVision                  (2021),35
 Paul Brumfield,Series Additional Crew,"            production assistant: second unit (6 episodes, 2021)          ",WandaVision                  (2021),35
 Paul Burke,Series Stunts,"            stunt performer (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Paul Carter,Series Art Department,            set dresser (uncredited) (unknown episodes)          ,WandaVision                  (2021),35
 Paul Cha,Series Makeup Department,"            makeup department head (3 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Paul Conway,Series Visual Effects by,"            digital compositor (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Paul Dudar,Series Second Unit Director or Assistant Director,            daily (uncredited) (unknown episodes)          ,The Umbrella Academy                  (2019– ),46
 Paul E. Miller,Series Sound Department,"            boom operator: 2nd unit (6 episodes, 2021)          ",WandaVision                  (2021),35
 Paul E. Woods,Series Camera and Electrical Department,"            a camera second assistant camera: 2nd unit (6 episodes, 2021)          ",WandaVision                  (2021),35
 Paul H. Paulino,Series Visual Effects by,"            texture painter: Method Studios (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Paul Harling,Series Visual Effects by,"            data resource management lead: Weta Digital (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Paul Hughen,"['Series Second Unit Director or Assistant Director'
 'Series Camera and Electrical Department']","['            second unit director (7 episodes, 2021)          '
 '            director of photography: second unit (6 episodes, 2021)          ']",WandaVision                  (2021),35
 Paul Iverson,Series Sound Department,"            laugh track consultant (9 episodes, 2021)          ",WandaVision                  (2021),35
 Paul Jarrett,General Stanley,"1 episode, 2017                        ",Legion                  (2017–2019),35
 Paul Jesper,Series Animation Department,"            animator: Folks VFX (1 episode, 2017)          ",Legion                  (2017–2019),35
 Paul King,Series Visual Effects by,"            visual effects producer: Pixomondo (5 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Paul Kobetz,Series Location Management,"            assistant location manager (9 episodes, 2021)          ",WandaVision                  (2021),35
 Paul Lynch,Series Sound Department,"            Adr Recordist (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Paul McCullough,Series Visual Effects by,"            visual effects production assistant (9 episodes, 2021)          ",WandaVision                  (2021),35
 Paul Pape,Series Additional Crew,            voice cast (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Paul Runyan,Series Visual Effects by,"            visual effects artist (1 episode, 2021)          ",WandaVision                  (2021),35
 Paul Saunders,Series Camera and Electrical Department,"            A Camera / A camera (13 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Paul Schweizer,Series Visual Effects by,"            pipeline td: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Paul Smith,Series Thanks,"            special thanks (1 episode, 2017)          ",Legion                  (2017–2019),35
 Paul Song,Series Visual Effects by,            visual effects (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Paul Tilden,Series Camera and Electrical Department,"            a camera second assistant: los angeles (6 episodes, 2021)          ",WandaVision                  (2021),35
 Paul Trunz,Series Stunts,"            stunt performer: Townspeople / utility stunt performer (2 episodes, 2021)          ",WandaVision                  (2021),35
 Paul Westerbeck,Series Editorial Department,"            final colorist (14 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Paula Paternostro,Series Additional Crew,"            second assistant accountant (15 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Paulina Salazar,Series Location Management,            key assistant location manager (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Paz Drimer,Series Visual Effects by,"            digital production administrator: Digital domain (1 episode, 2021)          ",WandaVision                  (2021),35
 Pearl Amanda Dickson,Teen Syd,"3 episodes, 2018-2019                        ",Legion                  (2017–2019),35
 Pedram Ziaei,Series Visual Effects by,"            visual effects artist (2 episodes, 2021)          ",WandaVision                  (2021),35
 Pedro Pano,Mr. Hopper,"1 episode, 2019                        ",Legion                  (2017–2019),35
 Pedro Vilas,Series Visual Effects by,"            cfx lead: Spin VFX / cfx lead (5 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 PeiPei Alena Yuan,Series Stunts,"            stunt performer (1 episode, 2019)          ",Legion                  (2017–2019),35
 Pembrooke St. Cyr,Series Visual Effects by,"            compositor: Spin VFX (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Penande Estime,Series Stunts,"            stunt double (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Pernilla Nylander,Series Costume and Wardrobe Department,"            seamstress (3 episodes, 2018)          ",Legion                  (2017–2019),35
 Perrine Virgile,['Series Music Department' 'Series Music by'],"['            scoring assistant (1 episode, 2017-2018)          '
 '            (10 episodes, 2020)          '
 '            composer: additional music (10 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Perry Barndt,Series Stunts,"            stunt double: Colm Feore (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Perunika Yorgova,Series Visual Effects by,"['            digital compositor (2 episodes, 2021)          '
 '            digital compositor (20 episodes, 2019-2020)          ']","['WandaVision                  (2021)'
 'The Umbrella Academy                  (2019– )']",2
 Pete Draper,Series Visual Effects by,            visual effects supervisor: Makuta (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Pete Kelley,Series Special Effects by,"            special effects technician: Ironhead Studio (3 episodes, 2021)          ",WandaVision                  (2021),35
 Pete Woodley-Page,Series Visual Effects by,"            senior motion editor: Weta Digital (6 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Peter Bas,Series Visual Effects by,"['            compositor (2 episodes, 2017)          '
 '            compositor (5 episodes, 2019)          ']","['Legion                  (2017–2019)'
 'The Umbrella Academy                  (2019– )']",2
 Peter Braeley,Series Visual Effects by,"            Digital Matte Painter (6 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Peter Brunette,Series Additional Crew,"            assistant production office coordinator (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Peter Calloway,['Series Writing Credits' 'Series Produced by'],"['            (written by) (2 episodes, 2017)          '
 '            co-executive producer (7 episodes, 2017)          ']",Legion                  (2017–2019),35
 Peter Cameron,Series Writing Credits,"['            (executive story editor) (9 episodes, 2021)          '
 '            (written by) (9 episodes, 2021)          ']",WandaVision                  (2021),35
 Peter Dress,Series Second Unit Director or Assistant Director,"            second assistant director (7 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Peter Hart,Series Visual Effects by,"            head of matchmove and layout: Method Studios (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Peter Hoar,['Series Directed by' 'Series Produced by'],"['            (2 episodes, 2019)          '
 '            executive producer (1 episode, 2019)          ']",The Umbrella Academy                  (2019– ),46
 Peter J. Novak,Series Location Management,"            location manager (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Peter Lam,Series Music Department,"            composer: additional music (24 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Peter Leake,Director,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Peter Lee,Series Visual Effects by,"            tracking and matchmove artist: luma pictures (1 episode, 2021)          ",WandaVision                  (2021),35
 Peter Lyons Collister,Series Camera and Electrical Department,"            2nd Unit Director of Photography: Los Angelas unit / 2nd Unit Director of Photography: los angelas / director of photography: Los Angeles / 2nd Unit Director of Photography: los angelas unit / director of photography: second unit, Los Angeles (9 episodes, 2021)          ",WandaVision                  (2021),35
 Peter MacDonald,Series Camera and Electrical Department,"            gaffer: second unit (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Peter Merrison,Series Art Department,            graphic designer (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Peter Outerbridge,The Conductor,"3 episodes, 2019                        ",The Umbrella Academy                  (2019– ),46
 Peter Rensema,['Series Location Management' 'Series Additional Crew'],"['            assistant location manager (9 episodes, 2020)          '
 '            Location Assistant (9 episodes, 2019)          ']",Doom Patrol                  (2019– ),37
 Peter Schindelhauer,Series Stunts,"            stunt driver / cop stunt driver / stunt performer / stunt performer: Cowboy / stunts: cab driver (6 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Peter Schoelier,Mr. Edelman,"3 episodes, 2020                        ",The Umbrella Academy                  (2019– ),46
 Peter Shorokhov,Series Camera and Electrical Department,            grip rigger (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Peter Sweeney,Series Camera and Electrical Department,"            camera operator: ""b"" camera (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Phil Barker,Series Visual Effects by,"            lidar scanning (5 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Phil Borg,Paparazzi #2,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Phil Hardage,Series Second Unit Director or Assistant Director,"            first assistant director (7 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Phil Morris,Silas Stone,"11 episodes, 2019-2020                        ",Doom Patrol                  (2019– ),37
 Phil Saunders,Series Art Department,"            Concept Artist (2 episodes, 2021)          ",WandaVision                  (2021),35
 Philip Ballard,Series Visual Effects by,            compositor: Gradient Effects (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Philip Ballinger,Series Visual Effects by,"            fx artist: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Philip Craig,Newscaster,"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Philip Harris-Genois,Series Visual Effects by,"            modeler: Rodeo FX (2 episodes, 2021)          ",WandaVision                  (2021),35
 Philip J. Horn,Series Visual Effects by,"            visual effects data wrangler (1 episode, 2021)          ",WandaVision                  (2021),35
 Philip J. Robinson,Series Visual Effects by,"            3D Artist (1 episode, 2021)          ",WandaVision                  (2021),35
 Philip Mc'nroe Rakesh,Series Visual Effects by,"            Visualization Artist: The Third Floor Inc (9 episodes, 2021)          ",WandaVision                  (2021),35
 Philip Roxas,Series Camera and Electrical Department,"            Rigging Electric: Los Angeles Unit (9 episodes, 2021)          ",WandaVision                  (2021),35
 Philip Sisk,Series Visual Effects by,"            compositor (8 episodes, 2017)          ",Legion                  (2017–2019),35
 Philip Taylor,Series Transportation Department,"            picture car captain / Picture Car Captain / picture car captian (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Philip Trieu,Series Visual Effects by,"            matchmove artist: Pixomondo (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Philip Young,Series Art Department,"            graphic designer (7 episodes, 2019)          ",Legion                  (2017–2019),35
 Philipp Danner,Series Visual Effects by,"            digital compositor: RISE Visual Effects Studios (4 episodes, 2021)          ",WandaVision                  (2021),35
 Philippe Massonnat,Series Visual Effects by,"            department manager: Folks / visual effects coordinator: Folks (19 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Philippe Thibault,Series Visual Effects by,            digital effects supervisor: Folks (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Phillip E. Walker,Store Manager,"1 episode, 2018                        ",Legion                  (2017–2019),35
 Phillip Hoffman,Series Visual Effects by,"            visual effects producer (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Phillip Peloubet,Series Music Department,"            composer: additional music (15 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Philonese West,Series Makeup Department,"            key hair stylist: second unit (6 episodes, 2021)          ",WandaVision                  (2021),35
 Pierce Lackey,Director,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Piotr Michael,Strücker Watch Ad Narrator,unknown episodes                        ,WandaVision                  (2021),35
 Piotr Swigut,Series Visual Effects by,"            matte painter: SSVFX (2 episodes, 2021)          ",WandaVision                  (2021),35
 Pisay Pao,Slava,"3 episodes, 2019-2020                        ",Doom Patrol                  (2019– ),37
 Polly Gregory,Series Costume and Wardrobe Department,"            additional costumer (3 episodes, 2018)          ",Legion                  (2017–2019),35
 Polly Morgan,Series Cinematography by,"            (8 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Portia Cue,Soap Opera Mom,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Prabhakar Maharjan,Series Visual Effects by,"            digital compositor (3 episodes, 2017)          ",Legion                  (2017–2019),35
 Prabin Bhandari,Series Visual Effects by,"            visual effects artist (3 episodes, 2017)          ",Legion                  (2017–2019),35
 Prakash Karki,Series Visual Effects by,"            visual effects artist (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Prashant Agrawal,Series Visual Effects by,"            Visual Effects Production Manager (5 episodes, 2021)          ",WandaVision                  (2021),35
 Prashant Goel,Series Visual Effects by,"            compositor: Pixomondo (4 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Pratham Karnik,Series Visual Effects by,            compositor: Gradient Effects (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Pratik Redkar,Series Visual Effects by,"            visual effects artist (1 episode, 2021)          ",WandaVision                  (2021),35
 Praveen Kumar,Series Visual Effects by,"            Rotoanim/Rotomation lead: visual effects (9 episodes, 2021)          ",WandaVision                  (2021),35
 Preston Corbell,Series Stunts,"            stunts (2 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Priyank Murarka,Series Visual Effects by,"            digital compositor (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Quan Gan,Series Visual Effects by,"            fx artist: Pixomondo / visual effects artist: Pixomondo (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Quancetia Hamilton,Griddy's Employee,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Quentin E. Holmes,Series Visual Effects by,"            visual effects editor: Deluxe (19 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 Quentin Franco,Series Stunts,"            d3 soldier (1 episode, 2019)          ",Legion                  (2017–2019),35
 Quentin Luna,Series Visual Effects by,            cg artist: Folks (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Quinn Bozza,DJ,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Quinten Johnson,Cop,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Quinton Boisclair,Devil with the Yellow Eyes,"8 episodes, 2017-2018                        ",Legion                  (2017–2019),35
 Quinton M. Jackson,Series Costume and Wardrobe Department,"            costume production assistant (10 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Quique Rivera Rivera,Series Animation Department,"            stop motion supervisor (1 episode, 2021)          ",WandaVision                  (2021),35
 R. Christopher White,Series Visual Effects by,"            visual effects supervisor: Weta Digital (14 episodes, 2019-2020)          ",The Umbrella Academy                  (2019– ),46
 R. Michael Sasser,Series Camera and Electrical Department,"            company grip / key grip: second unit / Second Unit Key Grip (24 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Rachael Hranka,Series Costume and Wardrobe Department,            shopper (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Rachael Lin Gallaghan,Series Production Management,"            production supervisor (9 episodes, 2021)          ",WandaVision                  (2021),35
 Rachael Markarian,Dancer #11,unknown episodes                        ,Legion                  (2017–2019),35
 Rachael T. Chiarella,Series Visual Effects by,"            Environment Artist: Digital Domain (2 episodes, 2021)          ",WandaVision                  (2021),35
 Rachael Thompson,Major Goodner,"1 episode, 2021                        ",WandaVision                  (2021),35
 Rachel A. Bailey,Series Visual Effects by,"            digital compositor: Muse VFX (1 episode, 2019)          ",Legion                  (2017–2019),35
 Rachel A. Walker,Series Costume and Wardrobe Department,"            textile artist (8 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Rachel Ambelang,Series Visual Effects by,"            visual effects editor (8 episodes, 2021)          ",WandaVision                  (2021),35
 Rachel Appelbaum,Puppeteer,"1 episode, 2019                        ",Doom Patrol                  (2019– ),37
 Rachel Beniuk,Series Visual Effects by,"            digital compositor (10 episodes, 2019)          ",The Umbrella Academy                  (2019– ),46
 Rachel Bongard,Series Makeup Department,"            mold maker/lab tech Lone Wolf Effects / special makeup effects artist (11 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Rachel Fowler,Series Visual Effects by,            editor: main title sequence - Elastic (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Rachel Galey,Series Makeup Department,"            makeup artist (9 episodes, 2021)          ",WandaVision                  (2021),35
 Rachel Gassi,Series Makeup Department,"            Daily Makeup Artist (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Rachel High,Series Casting Department,"            extras casting (9 episodes, 2020)          ",Doom Patrol                  (2019– ),37
 Rachel Hoffpauir,Series Stunts,"            stunt performer: Witch (1 episode, 2021)          ",WandaVision                  (2021),35
 Rachel Keller,Syd Barrett,"27 episodes, 2017-2019                        ",Legion                  (2017–2019),35
 Rachel Obering,Series Additional Crew,"            production assistant (6 episodes, 2021)          ",WandaVision                  (2021),35
 Rachel Quinn,Series Additional Crew,"            payroll accountant (10 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Rachel Robb Kondrath,Series Art Direction by,"            (9 episodes, 2021)          ",WandaVision                  (2021),35
 Rachel Rockstroh,Series Art Direction by,"            (8 episodes, 2019)          ",Legion                  (2017–2019),35
 Rachel Talalay,['Series Directed by' 'Series Produced by'],"['            (1 episode, 2019)          '
 '            producer (1 episode, 2019)          ']",Doom Patrol                  (2019– ),37
 Rachel Varnell,Series Visual Effects by,"            Visual Effects Assistant Editor (8 episodes, 2019)          ",Doom Patrol                  (2019– ),37
 Rachele Schank,Vermillion #1,"4 episodes, 2019                        ",Legion                  (2017–2019),35
 Radhakrishnan,Series Visual Effects by,"            digital artist (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Raegan Wexler,Series Sound Department,"            sound playback operator (4 episodes, 2019-2020)          ",Doom Patrol                  (2019– ),37
 Rafael Colon,Series Visual Effects by,"            digital compositor: Digital Domain (1 episode, 2021)          ",WandaVision                  (2021),35
 Rafael Gomez,Series Camera and Electrical Department,"            rigging electrician (7 episodes, 2019)          ",Legion                  (2017–2019),35
 Rafiel Chait,Series Camera and Electrical Department,"            first Assistant Camera b-camera 2nd unit (6 episodes, 2021)          ",WandaVision                  (2021),35
 Rafiel Gillen,Series Camera and Electrical Department,"            first Assistant Camera b-camera 2nd unit (6 episodes, 2021)          ",WandaVision                  (2021),35
 Rahiem Riley,News Camera Man,unknown episodes                        ,Doom Patrol                  (2019– ),37
 Rainbow Sun Francks,Detective Chuck Beaman,"6 episodes, 2019                        ",The Umbrella Academy                  (2019– ),46
 Rainer Scheelisch,Series Transportation Department,            daily driver (uncredited) (unknown episodes)          ,Legion                  (2017–2019),35
 Rajesh Babu,Series Visual Effects by,"            visual effects producer (1 episode, 2020)          ",The Umbrella Academy                  (2019– ),46
 Ran Wang,Series Visual Effects by,"            visual effects artist: Digital Domain 3.0 (2 episodes, 2021)          ",WandaVision                  (2021),35
 Randall J. Rosa,Series Visual Effects by,"            visual effects supervisor: FuseFX (7 episodes, 2017)          ",Legion                  (2017–2019),35
 Randall Park,Jimmy Woo,"5 episodes, 2021                        ",WandaVision                  (2021),35
 Randy Beckman,Series Stunts,"            utility stunt performer / supervising stunt rigging coordinator (3 episodes, 2021)          ",WandaVision                  (2021),35
 Randy Garcia,Series Camera and Electrical Department,"            key grip: second unit (2 episodes, 2019)          ",Legion                  (2017–2019),35
 Randy Oglesby,Doctor Stan Nielsen,"1 episode, 2021                        ",WandaVision                  (2021),35
 Randy Thomas,#73 ~ Detective #1,unknown episodes                        ,The Umbrella Academy                  (2019– ),46
 Rany Abu-Elniaj,Tattooed Man,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Raphael Letertre,Series Visual Effects by,"            cg supervisor: Rodeo FX (1 episode, 2021)          ",WandaVision                  (2021),35
 Raphael Oseguera,Series Visual Effects by,"            roto department manager (1 episode, 2019)          ",The Umbrella Academy                  (2019– ),46
 Rasha El Sawiy,Series Visual Effects by,"            visual effects coordinator (1 episode, 2021)          ",WandaVision                  (2021),35
 Rashida Brown,Series Visual Effects by,"            prep & roto artist: Spin VFX (2 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Rashmita Basnet,Series Visual Effects by,"            visual effects artist (2 episodes, 2017)          ",Legion                  (2017–2019),35
 Ratnam Pandya,Series Visual Effects by,"            Matchmove & RotoAnim Artist: MPC/MRX (2 episodes, 2021)          ",WandaVision                  (2021),35
 Raul Vasquez,Series Camera and Electrical Department,"            best boy grip (13 episodes, 2018-2019)          ",Legion                  (2017–2019),35
 Raven Dauda,Odessa,"4 episodes, 2020                        ",The Umbrella Academy                  (2019– ),46
 Ravindra Tamhankar,Series Visual Effects by,"            visual effects producer (2 episodes, 2021)          ",WandaVision                  (2021),35
 Ravon Miles,Scant Servant #2,"1 episode, 2020                        ",Doom Patrol                  (2019– ),37
 Ray Kahnert,Immigration Clerk,"1 episode, 2019                        ",The Umbrella Academy                  (2019– ),46
 Raya Korah,Young Lila (10 Years Old),"1 episode, 2020                        ",The Umbrella Academy                  (2019– ),46
 Rayk Schroeder,Series Visual Effects by,"            lead digital compositor: RISE Visual Effects Studios (8 episodes, 2021)          ",WandaVision                  (2021),35
 Raymond Calderon,Series Editorial Department,            dailies operator (uncredited) (unknown episodes)          ,Doom Patrol                  (2019– ),37
 Reatha Grey,Hearse Driver,"1 episode, 2018                        ",Legion                  (2017–2019),35
 Rebecca Boyle,Series Script and Continuity Department,"            second unit script supervisor: los angeles (5 episodes, 2021)          ",WandaVision                  (2021),35
 Rebecca Matkaluk,Series Visual Effects by,"            Visual Effects Production Manager (3 episodes, 2021)          ",WandaVision                  (2021),35
 Rebecca McDermid,Series Costume and Wardrobe Department,"            2nd unit set supervisor / personal costumer: Tom Hopper, Kate Walsh (10 episodes, 2020)          ",The Umbrella Academy                  (2019– ),46
 Rebecca Rodriguez,Series Directed by,"            (1 episode, 2019)          ",Doom Patrol                  (2019– ),37
 Rebecca Shoemaker,Series Costume and Wardrobe Department,"            set costumer (2 episodes, 2019)          ",Doom Patrol                  (2019– ),37
